Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Convertible Note - Next Thing Co,https://www.crunchbase.com/funding_round/next-thing-convertible-note--1affd64e,Next Thing Co,https://www.crunchbase.com/organization/next-thing,Convertible Note,,"Oct 31, 2017",,,No,2,1
Convertible Note - Babybe GmbH,https://www.crunchbase.com/funding_round/babybe-convertible-note--b9ad95fe,Babybe GmbH,https://www.crunchbase.com/organization/babybe,Convertible Note,,"Oct 31, 2017",,,No,2,1
Seed Round - Neurocarrus,https://www.crunchbase.com/funding_round/neurocarrus-2-seed--9fc653b0,Neurocarrus,https://www.crunchbase.com/organization/neurocarrus-2,Seed,,"Oct 27, 2017",Seed,,Yes,2,1
Seed Round - HabitAware,https://www.crunchbase.com/funding_round/habitaware-seed--9edadd38,HabitAware,https://www.crunchbase.com/organization/habitaware,Seed,,"Oct 27, 2017",Seed,,Yes,2,1
Convertible Note - SafeMotos,https://www.crunchbase.com/funding_round/safemotos-convertible-note--4254004d,SafeMotos,https://www.crunchbase.com/organization/safemotos,Convertible Note,,"Oct 26, 2017",,,No,1,1
Equity Crowdfunding - Kokoon Technology,https://www.crunchbase.com/funding_round/kokoon-technology-equity-crowdfunding--c0ea528f,Kokoon Technology,https://www.crunchbase.com/organization/kokoon-technology,Equity Crowdfunding,"£1,649,520","Oct 24, 2017",,"£5,929,699",Yes,3,
Convertible Note - Moona,https://www.crunchbase.com/funding_round/moona-convertible-note--e24ce1ca,Moona,https://www.crunchbase.com/organization/moona,Convertible Note,,"Oct 24, 2017",,,No,2,1
Seed Round - foodcloud.in,https://www.crunchbase.com/funding_round/foodcloud-in-seed--bba5e186,foodcloud.in,https://www.crunchbase.com/organization/foodcloud-in,Seed,,"Oct 24, 2017",Seed,,Yes,2,2
Seed Round - Abbys Better,https://www.crunchbase.com/funding_round/abbys-better-seed--c9016729,Abbys Better,https://www.crunchbase.com/organization/abbys-better,Seed,,"Oct 24, 2017",Seed,,Yes,2,2
Seed Round - Feel,https://www.crunchbase.com/funding_round/sentio-solutions-inc-seed--8b566c55,Feel,https://www.crunchbase.com/organization/sentio-solutions-inc,Seed,,"Oct 24, 2017",Seed,,Yes,2,1
Seed Round - PT Galactic Multimedia,https://www.crunchbase.com/funding_round/pt-galactic-multimedia-seed--c3d5f9ea,PT Galactic Multimedia,https://www.crunchbase.com/organization/pt-galactic-multimedia,Seed,,"Oct 19, 2017",Seed,,Yes,2,1
Convertible Note - Robo Wunderkind,https://www.crunchbase.com/funding_round/robo-convertible-note--c675e5e3,Robo Wunderkind,https://www.crunchbase.com/organization/robo,Convertible Note,,"Oct 19, 2017",,,No,2,1
Seed Round - CINEMOOD,https://www.crunchbase.com/funding_round/cinemood-seed--3c347796,CINEMOOD,https://www.crunchbase.com/organization/cinemood,Seed,,"Oct 17, 2017",Seed,,Yes,2,1
Seed Round - AGRON Solutions,https://www.crunchbase.com/funding_round/agron-solutions-seed--e6367cb9,AGRON Solutions,https://www.crunchbase.com/organization/agron-solutions,Seed,,"Oct 16, 2017",Seed,,Yes,2,2
Seed Round - Amper Technologies,https://www.crunchbase.com/funding_round/amper-technologies-seed--c084047a,Amper Technologies,https://www.crunchbase.com/organization/amper-technologies,Seed,,"Oct 16, 2017",Seed,,Yes,2,1
Funding Round - FoodMarble,https://www.crunchbase.com/funding_round/foodmarble-undisclosed--320a0eb1,FoodMarble,https://www.crunchbase.com/organization/foodmarble,Funding Round,"$1,300,000","Oct 11, 2017",,,Yes,2,
Seed Round - Scaled Biolabs,https://www.crunchbase.com/funding_round/scaled-biolabs-seed--0fb90fc1,Scaled Biolabs,https://www.crunchbase.com/organization/scaled-biolabs,Seed,,"Oct 11, 2017",Seed,,Yes,2,1
Seed Round - Eva Fertility,https://www.crunchbase.com/funding_round/eva-fertility-seed--7ff80758,Eva Fertility,https://www.crunchbase.com/organization/eva-fertility,Seed,,"Oct 10, 2017",Seed,,Yes,2,1
Convertible Note - Teamosa,https://www.crunchbase.com/funding_round/teamosa-convertible-note--0353f3e4,Teamosa,https://www.crunchbase.com/organization/teamosa,Convertible Note,,"Oct 9, 2017",,,No,2,1
Seed Round - FeetMe,https://www.crunchbase.com/funding_round/feetme-seed--026806d5,FeetMe,https://www.crunchbase.com/organization/feetme,Seed,"$2,280,000","Oct 5, 2017",Seed,,Yes,5,
Seed Round - Focure,https://www.crunchbase.com/funding_round/focure-seed--4d0a3238,Focure,https://www.crunchbase.com/organization/focure,Seed,,"Oct 5, 2017",Seed,,Yes,2,1
"Seed Round - Onconetics Pharmaceuticals, Inc.",https://www.crunchbase.com/funding_round/onconetics-pharmaceuticals-inc-seed--1bc635d4,"Onconetics Pharmaceuticals, Inc.",https://www.crunchbase.com/organization/onconetics-pharmaceuticals-inc,Seed,,"Oct 5, 2017",Seed,,Yes,2,1
Convertible Note - Futurefleet,https://www.crunchbase.com/funding_round/futurefleet-convertible-note--e5f23fcf,Futurefleet,https://www.crunchbase.com/organization/futurefleet,Convertible Note,,"Oct 5, 2017",,,No,1,1
Seed Round - Industrial/Organic,https://www.crunchbase.com/funding_round/industrial-organic-seed--e8d171b3,Industrial/Organic,https://www.crunchbase.com/organization/industrial-organic,Seed,"$1,300,000","Oct 3, 2017",Seed,,Yes,10,1
"Seed Round - Arovia, Inc.",https://www.crunchbase.com/funding_round/arovia-inc-seed--3d96a95d,"Arovia, Inc.",https://www.crunchbase.com/organization/arovia-inc,Seed,,"Oct 2, 2017",Seed,,Yes,2,1
Seed Round - IQinetics,https://www.crunchbase.com/funding_round/iqinetics-seed--d21eb8c4,IQinetics,https://www.crunchbase.com/organization/iqinetics,Seed,,"Oct 2, 2017",Seed,,Yes,2,1
Seed Round - LiqEase,https://www.crunchbase.com/funding_round/liqease-seed--b6631c16,LiqEase,https://www.crunchbase.com/organization/liqease,Seed,,"Sep 30, 2017",Seed,,Yes,2,1
Seed Round - Screea,https://www.crunchbase.com/funding_round/screea-seed--c6ef132d,Screea,https://www.crunchbase.com/organization/screea,Seed,"$75,000","Sep 23, 2017",Seed,"$3,000,000",Yes,1,
Seed Round - Cambridge Crops,https://www.crunchbase.com/funding_round/cambridge-crops-seed--067011d7,Cambridge Crops,https://www.crunchbase.com/organization/cambridge-crops,Seed,,"Sep 22, 2017",Seed,,Yes,2,2
Seed Round - Eio Diagnostics,https://www.crunchbase.com/funding_round/eio-diagnostics-seed--16753aa3,Eio Diagnostics,https://www.crunchbase.com/organization/eio-diagnostics,Seed,,"Sep 22, 2017",Seed,,Yes,2,2
Seed Round - PowCow,https://www.crunchbase.com/funding_round/powcow-seed--ba07f5d1,PowCow,https://www.crunchbase.com/organization/powcow,Seed,,"Sep 22, 2017",Seed,,Yes,2,2
Seed Round - Nordetect,https://www.crunchbase.com/funding_round/nordetect-seed--cc9ec4d3,Nordetect,https://www.crunchbase.com/organization/nordetect,Seed,,"Sep 21, 2017",Seed,,Yes,2,1
Seed Round - AptaCam,https://www.crunchbase.com/funding_round/aptacam-seed--e2ed07c1,AptaCam,https://www.crunchbase.com/organization/aptacam,Seed,,"Sep 21, 2017",Seed,,Yes,2,1
Convertible Note - GetO2,https://www.crunchbase.com/funding_round/geto2-convertible-note--fbc59132,GetO2,https://www.crunchbase.com/organization/geto2,Convertible Note,,"Sep 21, 2017",,,No,1,1
Convertible Note - Amber Agriculture,https://www.crunchbase.com/funding_round/amber-agriculture-convertible-note--a76ccfc8,Amber Agriculture,https://www.crunchbase.com/organization/amber-agriculture,Convertible Note,,"Sep 20, 2017",,,No,2,1
Series A - Synthace,https://www.crunchbase.com/funding_round/synthace-series-a--b5de2784,Synthace,https://www.crunchbase.com/organization/synthace,Series A,"£7,300,000","Sep 19, 2017",Early Stage Venture,,Yes,6,
Seed Round - Nonfood,https://www.crunchbase.com/funding_round/nonfood-seed--5d30e4c8,Nonfood,https://www.crunchbase.com/organization/nonfood,Seed,,"Sep 19, 2017",Seed,,Yes,2,2
Seed Round - Youi Robot,https://www.crunchbase.com/funding_round/youi-robot-seed--4dedc272,Youi Robot,https://www.crunchbase.com/organization/youi-robot,Seed,,"Sep 19, 2017",Seed,,Yes,2,1
Seed Round - IOK Labs Inc,https://www.crunchbase.com/funding_round/iok-labs-inc-seed--8aa7f211,IOK Labs Inc,https://www.crunchbase.com/organization/iok-labs-inc,Seed,"$105,000","Sep 14, 2017",Seed,,Yes,4,2
Seed Round - Prospective Research,https://www.crunchbase.com/funding_round/prospective-research-seed--ecfa2559,Prospective Research,https://www.crunchbase.com/organization/prospective-research,Seed,,"Sep 13, 2017",Seed,,Yes,2,1
Seed Round - Bartesian,https://www.crunchbase.com/funding_round/bartesian-seed--59bab022,Bartesian,https://www.crunchbase.com/organization/bartesian,Seed,,"Sep 13, 2017",Seed,,Yes,2,1
Seed Round - Indemand,https://www.crunchbase.com/funding_round/indemand-seed--7a323ae6,Indemand,https://www.crunchbase.com/organization/indemand,Seed,,"Sep 12, 2017",Seed,,Yes,4,1
Seed Round - Mesh++,https://www.crunchbase.com/funding_round/mesh-e869-seed--3ee8ff43,Mesh++,https://www.crunchbase.com/organization/mesh-e869,Seed,,"Sep 12, 2017",Seed,,Yes,3,2
Seed Round - ViaBot,https://www.crunchbase.com/funding_round/viabot-seed--8dcfca6f,ViaBot,https://www.crunchbase.com/organization/viabot,Seed,,"Sep 12, 2017",Seed,,Yes,2,1
"Seed Round - unspun, inc.",https://www.crunchbase.com/funding_round/unspun-2-seed--313df110,"unspun, inc.",https://www.crunchbase.com/organization/unspun-2,Seed,,"Sep 12, 2017",Seed,,Yes,2,1
Seed Round - Nivien Therapeutics,https://www.crunchbase.com/funding_round/nivien-therapeutics-seed--17088578,Nivien Therapeutics,https://www.crunchbase.com/organization/nivien-therapeutics,Seed,,"Sep 12, 2017",Seed,,Yes,2,1
Convertible Note - PLANTEDIT,https://www.crunchbase.com/funding_round/plantedit-convertible-note--01226104,PLANTEDIT,https://www.crunchbase.com/organization/plantedit,Convertible Note,,"Sep 12, 2017",,,No,2,1
Angel Round - Kinexcs,https://www.crunchbase.com/funding_round/kinexcs-angel--fc8c4f89,Kinexcs,https://www.crunchbase.com/organization/kinexcs,Angel,"$175,000","Sep 12, 2017",Seed,,Yes,2,1
Seed Round - Pushme,https://www.crunchbase.com/funding_round/pushme-2-seed--ff7831ea,Pushme,https://www.crunchbase.com/organization/pushme-2,Seed,,"Sep 12, 2017",Seed,,Yes,1,1
Convertible Note - Bioaesthetics,https://www.crunchbase.com/funding_round/bioaesthetics-convertible-note--823bf0d1,Bioaesthetics,https://www.crunchbase.com/organization/bioaesthetics,Convertible Note,,"Sep 8, 2017",,,No,2,1
Seed Round - MicroSynbiotiX,https://www.crunchbase.com/funding_round/microsynbiotix-seed--a826fe8e,MicroSynbiotiX,https://www.crunchbase.com/organization/microsynbiotix,Seed,"€1,000,000","Sep 5, 2017",Seed,,Yes,5,1
Seed Round - Lady Technologies,https://www.crunchbase.com/funding_round/lady-technologies-seed--cb046ea8,Lady Technologies,https://www.crunchbase.com/organization/lady-technologies,Seed,,"Sep 4, 2017",Seed,,Yes,2,
Seed Round - Yana Trip,https://www.crunchbase.com/funding_round/yana-trip-seed--51539f3d,Yana Trip,https://www.crunchbase.com/organization/yana-trip,Seed,,"Sep 4, 2017",Seed,,Yes,2,1
Seed Round - WakeCap Technologies,https://www.crunchbase.com/funding_round/wakecap-technologies-seed--648b51e1,WakeCap Technologies,https://www.crunchbase.com/organization/wakecap-technologies,Seed,"$175,000","Sep 4, 2017",Seed,,Yes,2,1
"Seed Round - Hello, Peanut!",https://www.crunchbase.com/funding_round/hello-peanut-seed--0dea6805,"Hello, Peanut!",https://www.crunchbase.com/organization/hello-peanut,Seed,,"Sep 1, 2017",Seed,,Yes,2,2
Convertible Note - LiveKuna,https://www.crunchbase.com/funding_round/livekuna-convertible-note--cb5c96df,LiveKuna,https://www.crunchbase.com/organization/livekuna,Convertible Note,,"Sep 1, 2017",,,No,2,1
Seed Round - Lootcakes,https://www.crunchbase.com/funding_round/lootcakes-seed--6c8ad526,Lootcakes,https://www.crunchbase.com/organization/lootcakes,Seed,,"Sep 1, 2017",Seed,,Yes,2,1
Seed Round - RockMass Technologies,https://www.crunchbase.com/funding_round/rockmass-technologies-seed--c3944232,RockMass Technologies,https://www.crunchbase.com/organization/rockmass-technologies,Seed,,"Sep 1, 2017",Seed,,Yes,2,1
Series A - Memphis Meats,https://www.crunchbase.com/funding_round/memphis-meats-series-a--b9a65ea4,Memphis Meats,https://www.crunchbase.com/organization/memphis-meats,Series A,"$17,000,000","Aug 23, 2017",Early Stage Venture,,Yes,14,2
Seed Round - Sex Positive LTD,https://www.crunchbase.com/funding_round/sex-positive-ltd-seed--de135cbb,Sex Positive LTD,https://www.crunchbase.com/organization/sex-positive-ltd,Seed,,"Aug 20, 2017",Seed,,Yes,2,1
Seed Round - Oyalabs,https://www.crunchbase.com/funding_round/oyalabs-seed--c996ff76,Oyalabs,https://www.crunchbase.com/organization/oyalabs,Seed,"$100,000","Aug 15, 2017",Seed,,Yes,2,
Seed Round - Japet Medical Devices,https://www.crunchbase.com/funding_round/japet-medical-devices-seed--e43f7376,Japet Medical Devices,https://www.crunchbase.com/organization/japet-medical-devices,Seed,"$1,700,000","Aug 9, 2017",Seed,,Yes,2,1
"Angel Round - Bisu, Inc.",https://www.crunchbase.com/funding_round/bisu-inc-angel--5716abd5,"Bisu, Inc.",https://www.crunchbase.com/organization/bisu-inc,Angel,"$175,000","Aug 9, 2017",Seed,,Yes,2,
Convertible Note - Smart Lumies,https://www.crunchbase.com/funding_round/smart-lumies-2-convertible-note--1de1239d,Smart Lumies,https://www.crunchbase.com/organization/smart-lumies-2,Convertible Note,,"Aug 7, 2017",,,No,2,
Convertible Note - DAZL,https://www.crunchbase.com/funding_round/dazl-convertible-note--30531a7d,DAZL,https://www.crunchbase.com/organization/dazl,Convertible Note,"$100,000","Aug 7, 2017",,,No,1,
Convertible Note - Revvo,https://www.crunchbase.com/funding_round/revvo-convertible-note--6d7f1a98,Revvo,https://www.crunchbase.com/organization/revvo,Convertible Note,"$100,000","Aug 6, 2017",,,No,2,
Seed Round - Hi-in,https://www.crunchbase.com/funding_round/hi-in-seed--e653ad0c,Hi-in,https://www.crunchbase.com/organization/hi-in,Seed,"$70,000","Aug 5, 2017",Seed,"$2,500,000",Yes,1,
Seed Round - Youibot,https://www.crunchbase.com/funding_round/youibot-seed--07b0177a,Youibot,https://www.crunchbase.com/organization/youibot,Seed,,"Aug 1, 2017",Seed,,Yes,2,
Series C - Leap Motion,https://www.crunchbase.com/funding_round/leap-motion-series-c--81b32282,Leap Motion,https://www.crunchbase.com/organization/leap-motion,Series C,"$50,000,000","Jul 17, 2017",Late Stage Venture,,Yes,5,3
Angel Round - Indee Labs (YC W17),https://www.crunchbase.com/funding_round/indee-2-angel--78c752e6,Indee Labs (YC W17),https://www.crunchbase.com/organization/indee-2,Angel,"$1,827,000","Jul 4, 2017",Seed,,Yes,17,6
Seed Round - Mendel.ai,https://www.crunchbase.com/funding_round/mendel-health-seed--6318b5d3,Mendel.ai,https://www.crunchbase.com/organization/mendel-health,Seed,"$2,000,000","Jul 1, 2017",Seed,,Yes,5,1
Seed Round - STEERING AI,https://www.crunchbase.com/funding_round/steering-ai-seed--72e924ed,STEERING AI,https://www.crunchbase.com/organization/steering-ai,Seed,"$175,000","Jul 1, 2017",Seed,,Yes,2,
Convertible Note - Money Slide,https://www.crunchbase.com/funding_round/money-slide-convertible-note--e0aaa795,Money Slide,https://www.crunchbase.com/organization/money-slide,Convertible Note,,"Jun 29, 2017",,,No,2,1
Series A - Tongdao,https://www.crunchbase.com/funding_round/tongdao-series-a--2ce542f0,Tongdao,https://www.crunchbase.com/organization/tongdao,Series A,,"Jun 28, 2017",Early Stage Venture,,Yes,2,1
Seed Round - Sonirock,https://www.crunchbase.com/funding_round/sonirock-seed--1fd5288a,Sonirock,https://www.crunchbase.com/organization/sonirock,Seed,,"Jun 23, 2017",Seed,,Yes,2,1
Convertible Note - GoBone,https://www.crunchbase.com/funding_round/gobone-convertible-note--46c1058b,GoBone,https://www.crunchbase.com/organization/gobone,Convertible Note,,"Jun 14, 2017",,,No,2,1
Seed Round - Funmula Co.,https://www.crunchbase.com/funding_round/funmula-co-seed--2fb0cc2f,Funmula Co.,https://www.crunchbase.com/organization/funmula-co,Seed,,"Jun 12, 2017",Seed,,Yes,2,1
Seed Round - Catalog Technologies,https://www.crunchbase.com/funding_round/catalog-technologies-seed--08160107,Catalog Technologies,https://www.crunchbase.com/organization/catalog-technologies,Seed,,"Jun 9, 2017",Seed,,Yes,5,1
Convertible Note - Galactica Biotech,https://www.crunchbase.com/funding_round/galactica-biotech-convertible-note--14626c6f,Galactica Biotech,https://www.crunchbase.com/organization/galactica-biotech,Convertible Note,,"Jun 7, 2017",,,No,2,1
Convertible Note - Prynt,https://www.crunchbase.com/funding_round/prynt-convertible-note--3995147b,Prynt,https://www.crunchbase.com/organization/prynt,Convertible Note,,"Jun 6, 2017",,,No,2,1
