Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Atlas Venture,https://www.crunchbase.com/organization/atlas-venture,475,114,"Cambridge, Massachusetts, United States",Atlas Venture creates and invests in biotech startup companies in the U.S. with seed and early stage venture investments.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",257,,
U.S. Venture Partners (USVP),https://www.crunchbase.com/organization/us-venture-partners,464,111,"Menlo Park, California, United States","USVP is a Silicon valley-based venture capital firm, helping entrepreneurs build world-class companies.",Venture Capital,"Early Stage Venture, Late Stage Venture",229,,
Foundation Capital,https://www.crunchbase.com/organization/foundation-capital,460,104,"Palo Alto, California, United States",Foundation Capital is a venture capital firm made up of former entrepreneurs who set out to create the firm they wanted as founders.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",246,,
Mayfield Fund,https://www.crunchbase.com/organization/mayfield-fund,447,107,"Menlo Park, California, United States",Mayfield is a global venture capital firm which was founded in 1969 with a people-first philosophy.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",238,,
CRV,https://www.crunchbase.com/organization/crvvc,432,109,"Palo Alto, California, United States","CRV has been a leading investor in early-stage technology companies for almost half a century, backing nearly 400 startups in its history.",Venture Capital,"Early Stage Venture, Seed",248,,
RRE Ventures,https://www.crunchbase.com/organization/rre-ventures,428,72,"New York, New York, United States","RRE Ventures is a New York-based venture capital firm that offers early-stage funding to software, internet, and communications companies.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",239,,
True Ventures,https://www.crunchbase.com/organization/true-ventures,405,67,"Palo Alto, California, United States",True Ventures is a Silicon Valley-based venture capital firm that invests in early-stage technology startups.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",215,,
North Bridge Venture Partners & Growth Equity,https://www.crunchbase.com/organization/north-bridge-venture-partners,403,88,"Waltham, Massachusetts, United States","North Bridge provides seed-to-growth stage funding for businesses in several sectors such as software, communications and infrastructure.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",181,,
Tech Coast Angels,https://www.crunchbase.com/organization/tech-coast-angels,401,53,"Newport Beach, California, United States",Invests in high-growth start-up's headquartered in Southern California,Angel Group,"Early Stage Venture, Late Stage Venture, Seed",353,,
Highland Capital Partners,https://www.crunchbase.com/organization/highland-capital-partners,399,88,"Palo Alto, California, United States","Highland Capital Partners is a venture capital firm that offers seed, early, and growth-stage funding solutions.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",207,,
DCM Ventures,https://www.crunchbase.com/organization/dcm,395,67,"Menlo Park, California, United States",DCM Ventures is an early stage VC empowering the global ambitions of inspired entrepreneurs,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",217,,
InterWest Partners,https://www.crunchbase.com/organization/interwest-partners,387,81,"Menlo Park, California, United States",InterWest invests an average of about $7 - 15 million over the span of their involvement with each company in their portfolio.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",185,,
Greycroft,https://www.crunchbase.com/organization/greycroft,378,55,"New York, New York, United States",Greycroft is a leading venture capital firm focused on investments in the Internet and mobile markets.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",231,,
Oak Investment Partners,https://www.crunchbase.com/organization/oak-investment-partners,371,94,"Greenwich, Connecticut, United States",Oak Investment Partners is a multi-stage venture capital and private equity firm.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",200,,
Austin Ventures,https://www.crunchbase.com/organization/austin-ventures,369,95,"Austin, Texas, United States",Austin Ventures is a venture capital firm investing in early stage and middle market companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",178,,
Lerer Hippeau,https://www.crunchbase.com/organization/lerer-ventures,365,72,"New York, New York, United States",Lerer Hippeau is a seed and early-stage venture capital fund based in New York City.,Micro VC,"Early Stage Venture, Seed",243,,
Trinity Ventures,https://www.crunchbase.com/organization/trinity-ventures,357,97,"Menlo Park, California, United States","Founded in 1986, Trinity Ventures is an early stage venture capital firm.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",194,,
Felicis Ventures,https://www.crunchbase.com/organization/felicis-ventures,355,92,"Menlo Park, California, United States",Felicis Ventures is a boutique VC firm that backs iconic companies reinventing existing markets and creating frontier technologies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",241,,
Founders Fund,https://www.crunchbase.com/organization/founders-fund,353,56,"San Francisco, California, United States",Founders Fund is a San Francisco based venture capital firm investing in companies building revolutionary technologies.,Venture Capital,"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",238,,
GGV Capital,https://www.crunchbase.com/organization/ggv-capital,344,64,"Menlo Park, California, United States",GGV Capital is a $3.8 billion multi-stage venture capital firm based in Silicon Valley and China.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",212,,
FundersClub,https://www.crunchbase.com/organization/fundersclub,342,28,"San Francisco, California, United States",FundersClub is an online venture capital firm.,Micro VC,"Early Stage Venture, Seed",261,,
Sigma Partners,https://www.crunchbase.com/organization/sigma-partners,337,65,"Boston, Massachusetts, United States","Sigma Partners is a venture capital firm, founded in 1984, that has invested in over a hundred early stage companies and has over $2",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",124,,
Great Oaks Venture Capital,https://www.crunchbase.com/organization/great-oaks-venture-capital,332,56,"New York, New York, United States","Great Oaks is an early stage venture investment firm founded by Andrew Boszhardt, Jr.",Micro VC,"Early Stage Venture, Seed",247,,
ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,330,17,"New York, New York, United States","ff Venture Capital is a technology venture capital firm that invests in cybersecurity, AI, machine learning, drones, & cloud software.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",101,,
Founder Collective,https://www.crunchbase.com/organization/founder-collective,316,68,"Cambridge, Massachusetts, United States",Founder Collective is a Massachusetts-based seed-stage venture capital fund that helps entrepreneurs build their businesses.,Micro VC,Seed,221,,
Summit Partners,https://www.crunchbase.com/organization/summit-partners,314,179,"Boston, Massachusetts, United States","Global alternative investment firm currently investing more than $9.5B into growth equity, fixed income and public equity opportunities",Private Equity Firm,"Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",289,,
Crosslink Capital,https://www.crunchbase.com/organization/crosslink-capital,304,66,"San Francisco, California, United States",Crosslink Capital is a leading early-stage venture capital firm based in San Francisco with over $1.6 billion in assets.,Venture Capital,"Early Stage Venture, Seed",183,,
Qualcomm Ventures,https://www.crunchbase.com/organization/qualcomm-ventures,294,53,"San Diego, California, United States",Qualcomm Ventures makes investments in startups developing next-generation technologies that will promote future growth for Qualcomm.,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",206,,
Flybridge Capital Partners,https://www.crunchbase.com/organization/flybridge-capital,292,47,"Boston, Massachusetts, United States",Flybridge Capital Partners is a seed and early-stage venture capital firm that invests in technology companies.,Venture Capital,"Early Stage Venture, Seed",106,,
Bain Capital Ventures,https://www.crunchbase.com/organization/bain-capital-ventures,290,55,"Boston, Massachusetts, United States",Bain Capital Ventures invests in seed to growth-stage startups that are using tech to disrupt existing markets or create entirely new ones. ,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",170,,
Mohr Davidow Ventures,https://www.crunchbase.com/organization/mohr-davidow-ventures,289,67,"San Mateo, California, United States",The Mohr Davidow team partners with exceptional entrepreneurs and startup teams to build category-leading companies.,Venture Capital,"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",137,,
Sierra Ventures,https://www.crunchbase.com/organization/sierra-ventures,284,66,"San Mateo, California, United States","Since 1982, Sierra Ventures, a privately held venture capital firm, has helped entrepreneurs around the world start and grow over 200",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",142,,
Spark Capital,https://www.crunchbase.com/organization/spark-capital,280,46,"Boston, Massachusetts, United States",Spark Capital is an early and growth stage venture capital firm that takes risks on exceptional founders and the products they design.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",160,,
Ignition Partners,https://www.crunchbase.com/organization/ignition-partners,280,64,"Bellevue, Washington, United States",Ignition Partners is a venture capital firm dedicated to helping the best entrepreneurs seize opportunity.,Venture Capital,Early Stage Venture,150,,
Wavemaker Partners,https://www.crunchbase.com/organization/siemer-ventures,279,30,"Santa Monica, California, United States","Wavemaker is a crossborder early stage VC firm, dual headquartered in LA/Singapore, focused on seed stage technology startup opportunities.",Venture Capital,"Early Stage Venture, Seed",216,,
Morgenthaler Ventures,https://www.crunchbase.com/organization/morgenthaler-ventures,277,63,"Menlo Park, California, United States",Morgenthaler Ventures is a venture capital and private equity firm that invests in IT and life sciences companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",128,,
Madrona Venture Group,https://www.crunchbase.com/organization/madrona-venture-group,274,55,"Seattle, Washington, United States",Madrona Venture Group is a Seattle-based venture capital firm that invests in early-stage technology companies in the Pacific Northwest.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",142,,
Shasta Ventures,https://www.crunchbase.com/organization/shasta-ventures,271,50,"Menlo Park, California, United States",Shasta Ventures is an early stage firm investing in enterprise and consumer companies with a deep focus on emerging platforms.,Venture Capital,"Early Stage Venture, Seed",145,,
BoxGroup,https://www.crunchbase.com/organization/boxgroup,271,58,"New York, New York, United States",BoxGroup is an early stage investment fund focused on technology companies.,Micro VC,"Early Stage Venture, Late Stage Venture, Seed",204,,
Insight Venture Partners,https://www.crunchbase.com/organization/insight-venture-partners,270,74,"New York, New York, United States",Insight Venture Partners is a private equity and venture capital firm investing in growth-stage companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",200,,
OrbiMed,https://www.crunchbase.com/organization/orbimed-advisors,269,93,"New York, New York, United States","OrbiMed is a healthcare-dedicated investment firm, with approximately $5 billion in assets under management.",Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity",174,,
Data Collective,https://www.crunchbase.com/organization/data-collective,268,41,"San Francisco, California, United States","Data Collective invests in entrepreneurs building big data, deep compute, and IT infrastructure companies.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",188,,
Innovation Works,https://www.crunchbase.com/organization/innovation-works,268,18,"Pittsburgh, Pennsylvania, United States","Innovation Works invests capital, business expertise and resources into companies with the greatest likelihood of regional economic impact.","Government Office, Incubator","Early Stage Venture, Seed",159,,
Lighter Capital,https://www.crunchbase.com/organization/lighter-capital,267,13,"Seattle, Washington, United States","Lighter Capital is revolutionizing startup finance, filling the gap between VCs and banks.",Venture Debt,"Debt, Early Stage Venture",173,,
Salesforce Ventures,https://www.crunchbase.com/organization/salesforce-ventures,267,46,"San Francisco, California, United States",Salesforce Ventures invests in the next gen of enterprise tech to help companies connect with their customers in entirely new ways.,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",203,,
TCV,https://www.crunchbase.com/organization/technology-crossover-ventures,267,125,"Palo Alto, California, United States","Founded in 1995, TCV is a leading provider of capital to growth-stage private and public companies in the technology industry.",Private Equity Firm,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market",201,,
Uncork Capital,https://www.crunchbase.com/organization/softtech-vc,266,69,"Palo Alto, California, United States","Uncork Capital is a seed-stage venture firm that commits early, helps with the hard stuff, and sticks around. Really.",Micro VC,"Debt, Early Stage Venture, Late Stage Venture, Seed",168,,
Social Capital,https://www.crunchbase.com/organization/social-capital,264,27,"Palo Alto, California, United States",Social Capital is a Palo Alto-based investment firm whose mission is to advance humanity by solving the world’s hardest problems.,Venture Capital,"Early Stage Venture, Post-Ipo, Seed",176,,
Versant Ventures,https://www.crunchbase.com/organization/versant-ventures,263,59,"Menlo Park, California, United States","Versant Ventures caters to the healthcare sector with early and later stage venture, private equity, and debt financing investments.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",131,,
FLOODGATE,https://www.crunchbase.com/organization/floodgate,262,56,"Palo Alto, California, United States","FLOODGATE caters to digital businesses with early, seed, and later stage venture, and debt financing investments.",Micro VC,"Debt, Early Stage Venture, Late Stage Venture, Seed",175,,
ARCH Venture Partners,https://www.crunchbase.com/organization/arch-venture-partners,261,53,"Chicago, Illinois, United States","ARCH invests primarily in companies co-founded with leading scientists and entrepreneurs, concentrating on bringing to market innovations",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",131,,
Social Starts,https://www.crunchbase.com/organization/social-starts,260,28,"San Francisco, California, United States",Social Starts is a $60M+ venture partnership that invests at the moment-of-inception and Series A.,Micro VC,"Debt, Early Stage Venture, Seed",206,,
Sutter Hill Ventures,https://www.crunchbase.com/organization/sutter-hill-ventures,258,70,"Palo Alto, California, United States",Sutter Hill Ventures has financed technology-based start-ups and assisted entrepreneurs in building market-leading companies since 1962.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",129,,
VantagePoint Capital Partners,https://www.crunchbase.com/organization/vantagepoint-capital-partners,257,79,"San Bruno, California, United States","VantagePoint Capital Partners (formerly VantagePoint Venture Partners, until 2011) has more than $4.5 billion in capital under management",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",154,,
Foundry Group,https://www.crunchbase.com/organization/foundry-group,251,41,"Boulder, Colorado, United States",Foundry Group is a venture capital firm focused on making investments in early-stage information technology.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",142,,
Fabrice Grinda,https://www.crunchbase.com/person/fabrice-grinda,247,41,"New York, New York, United States",Fabrice Grinda is among the world’s leading Internet entrepreneurs and investors. He has over $300 million in exits and 150 angel investm...,"Individual/Angel, Investment Partner","Early Stage Venture, Seed",209,,
Dreamit,https://www.crunchbase.com/organization/dreamit-ventures,247,17,"Philadelphia, Pennsylvania, United States",Dreamit helps exceptional people build exceptional companies.,Accelerator,"Early Stage Venture, Late Stage Venture, Seed",222,,14
Union Square Ventures,https://www.crunchbase.com/organization/union-square-ventures,241,32,"New York, New York, United States","Union Square Ventures is a venture capital firm focused on early stage, growth capital, late stage, and startup financing.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",107,,
Warburg Pincus,https://www.crunchbase.com/organization/warburg-pincus,240,58,"New York, New York, United States",Warburg Pincus LLC is a global private equity firm focused on growth investing.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",175,,
Comcast Ventures,https://www.crunchbase.com/organization/comcast-interactive-capital,240,55,"San Francisco, California, United States",Comcast Ventures is the private venture capital affiliate of Comcast Corporation.,"Corporate Venture Capital, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",167,,
Upfront Ventures,https://www.crunchbase.com/organization/upfront-ventures,239,39,"Santa Monica, California, United States",Upfront invest in businesses that are technology led.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",144,,
DAG Ventures,https://www.crunchbase.com/organization/dag-ventures,239,77,"Palo Alto, California, United States","The firm invests in a variety of IT, energy, and life sciences companies.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",135,,
Domain Associates,https://www.crunchbase.com/organization/domain-associates,235,59,"San Diego, California, United States","Founded in 1985, Domain Associates, L.L.C. is a venture capital firm with an exclusive focus on life sciences. With $2 billion of capital",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",113,,
August Capital,https://www.crunchbase.com/organization/august-capital,234,49,"Menlo Park, California, United States",August Capital manages over $2.5 billion in committed capital and has invested in a mix of companies across the IT spectrum.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",125,,
Microsoft Accelerator,https://www.crunchbase.com/organization/microsoft-ventures,234,27,"Redmond, Washington, United States",Microsoft Accelerator is a global initiative empowering entrepreneurs around the world on their journey to build great companies.,Accelerator,"Non Equity Assistance, Seed",225,,
CF,https://www.crunchbase.com/organization/crunchfund,234,56,"San Francisco, California, United States",CF is an early stage venture capital firm founded in 2011 by Patrick Gallagher and Michael Arrington.,"Micro VC, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",194,,
Tiger Global Management,https://www.crunchbase.com/organization/tiger-global,233,33,"New York, New York, United States","Tiger Global Management, LLC is an investment firm that deploys capital globally in both public and private markets.",Venture Capital,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market",126,,
Slow Ventures,https://www.crunchbase.com/organization/slow-ventures,233,31,"San Francisco, California, United States","Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.",Micro VC,,192,,
e.ventures,https://www.crunchbase.com/organization/e-ventures,233,32,"San Francisco, California, United States",e.ventures is a global venture capital platform with an investment focus on early-stage consumer internet and mobile companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",133,,
Advanced Technology Ventures,https://www.crunchbase.com/organization/advanced-technology-ventures,233,57,"Menlo Park, California, United States","Advanced Technology Ventures focuses on investing in the ICT, infrastructure, consumer technology, bio-pharmaceuticals and medical industry.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",116,,
IVP (Institutional Venture Partners),https://www.crunchbase.com/organization/institutional-venture-partners,231,76,"Menlo Park, California, United States",Institutional Venture Partners is a California-based later-stage venture capital firm focused on technology and media companies.,Venture Capital,"Late Stage Venture, Private Equity",151,,
Innova Memphis,https://www.crunchbase.com/organization/innova-memphis,230,3,"Memphis, Tennessee, United States","Innova Memphis invests in early stage businesses related to bio-sciences, technology and agbio fields.",Venture Capital,"Early Stage Venture, Seed",96,,
Techstars Ventures,https://www.crunchbase.com/organization/bullet-time-ventures,228,41,"Boulder, Colorado, United States",Techstars Ventures is a Colorado-based venture capital firm that empowers entrepreneurs to bring new technologies to the market.,"Micro VC, Venture Capital","Early Stage Venture, Seed",173,,
Meritech Capital Partners,https://www.crunchbase.com/organization/meritech-capital-partners,220,96,"Palo Alto, California, United States",Meritech Capital is a provider of late-stage venture capital to technology companies.,Venture Capital,"Late Stage Venture, Private Equity",146,,
Trident Capital,https://www.crunchbase.com/organization/trident-capital,217,56,"Palo Alto, California, United States","Trident Capital is a venture capital and growth equity firm investing in software, business services and internet-focused companies.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",117,,
LaunchCapital,https://www.crunchbase.com/organization/launchcapital,213,26,"New Haven, Connecticut, United States",LaunchCapital was founded in January 2008 with a mission to help entrepreneurs gain quick access to seed capital and mentorship.,Micro VC,"Early Stage Venture, Seed",182,,
Sevin Rosen Funds,https://www.crunchbase.com/organization/sevin-rosen-funds,207,55,"Dallas, Texas, United States","Although technologies and markets have changed dramatically during the last 25 years, the investment principles upon which Sevin Rosen",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",106,,
Omidyar Network,https://www.crunchbase.com/organization/omidyar-network,205,17,"Redwood City, California, United States",Omidyar Network is an investment firm.,Family Investment Office,"Early Stage Venture, Grant, Late Stage Venture, Seed",146,,
StartUp Health,https://www.crunchbase.com/organization/startup-health,202,12,"New York, New York, United States",StartUp Health is organizing and supporting a global army of Health Transformers to improve the health & wellbeing of everyone in the world,Accelerator,"Crowdfunding, Early Stage Venture, Seed",198,,
Alta Partners,https://www.crunchbase.com/organization/alta-partners,202,61,"San Francisco, California, United States","Alta Partners is a leading venture capital firm in life sciences, funding over 130 companies in the industry since 1996.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",104,,
