Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Cvent,https://www.crunchbase.com/organization/cvent,"Events, Media and Entertainment, Software","Mclean, Virginia, United States",Cvent is an event management platform enabling planners to manage all aspects of an event.,"1,540","Jan 30, 1999",Active,,For Profit,,,1,1,,,2,1001-5000,4,M&A,"Jan 17, 2012","$911,999",Venture - Series Unknown,"$911,999",Venture - Series Unknown,"$136,911,999","$136,911,999",1,5,"Made Acquisitions, Was Acquired",Delisted,"Aug 16, 2013","Nov 28, 2016","$812,010,444","$117,600,000"
The Climate Corporation,https://www.crunchbase.com/organization/the-climate-corporation,Agriculture and Farming,"San Francisco, California, United States",The Climate Corporation is a technology platform helping people and businesses manage and adapt to climate change.,"1,613",2006,Active,,For Profit,,,,,,,2,501-1000,4,M&A,"Jun 14, 2012","$50,000,000",Series C,"$50,000,000",Series C,"$108,800,000","$108,800,000",5,20,"Made Acquisitions, Was Acquired",Private,,,,
Gilt Groupe,https://www.crunchbase.com/organization/gilt-groupe,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design","New York, New York, United States",Gilt Groupe is an online shopping website that provides instant insider access to top designer labels.,"1,735",2007,Active,,For Profit,,,,,,,5,1001-5000,7,M&A,"Feb 16, 2015","$50,000,000",Series F,"$50,000,000",Series F,"$271,000,000","$286,000,000",3,12,"Made Acquisitions, Was Acquired",Private,,,,
Lithium Technologies,https://www.crunchbase.com/organization/lithiumtechnologies,"Commerce and Shopping, Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","San Francisco, California, United States",Lithium builds community and social media management software that helps the world's best brands connect with customers on digital channels.,"1,786","Aug 6, 2001",Active,,For Profit,,,,,,,3,251-500,15,M&A,"Apr 8, 2014","$50,000,000",Venture - Series Unknown,"$50,000,000",Venture - Series Unknown,"$201,650,012","$201,650,012",4,12,"Made Acquisitions, Was Acquired",Private,,,,
Tintri,https://www.crunchbase.com/organization/tintri,"Hardware, Information Technology, Internet Services, Software","Mountain View, California, United States",Tintri Enterprise Cloud puts the agility of public cloud in an organization's data center.,"1,886",2008,Active,,For Profit,,,,,,,2,501-1000,8,IPO,"Jan 31, 2017",,Secondary Market,"$125,000,000",Series F,"$262,212,358","$262,212,358",6,8,,Public,"Jun 30, 2017",,"$216,370,000","$60,000,000"
Jet,https://www.crunchbase.com/organization/jet,"Commerce and Shopping, Hardware, Software","Hoboken, New Jersey, United States",Jet.com is a shopping site dedicated to saving you more money.,"2,072",Jul 2013,Active,,For Profit,,,,,,,3,1001-5000,5,M&A,"Nov 24, 2015","$350,000,000",Venture - Series Unknown,"$350,000,000",Venture - Series Unknown,"$565,000,000","$570,000,000",5,19,"Made Acquisitions, Was Acquired",Private,,,,
Millennial Media,https://www.crunchbase.com/organization/millennial-media,"Advertising, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software","Baltimore, Maryland, United States",Millennial Media has been acquired by AOL.,"2,252","May 1, 2006",Active,,For Profit,,,,,,,1,501-1000,5,M&A,"Nov 21, 2013","$175,445,382",Post-IPO Equity,"$175,445,382",Post-IPO Equity,"$240,245,382","$240,245,382",2,5,"Made Acquisitions, Was Acquired",Public,"Mar 29, 2012",,"$973,570,494","$132,600,000"
Karma Automotive,https://www.crunchbase.com/organization/fisker,"Manufacturing, Software, Transportation","Irvine, California, United States",Karma Automotive is a manufacturer of world-class luxury hybrid cars.,"2,357",Aug 2007,Active,,For Profit,,,,,,,2,251-500,11,M&A,"Nov 21, 2016","SEK7,000,000",Venture - Series Unknown,"SEK7,000,000",Venture - Series Unknown,"$948,258,798","$1,477,258,798",3,11,Was Acquired,Private,,,,
Braintree,https://www.crunchbase.com/organization/braintree-payment-solutions,"Financial Services, Lending and Investments, Payments, Software","Chicago, Illinois, United States",Braintree's payment platform provides all the tools online and mobile businesses need to accept payments.,"2,404",Oct 2007,Active,,For Profit,,,,,,,1,251-500,2,M&A,"Sep 17, 2012","$35,000,000",Series B,"$35,000,000",Series B,"$69,000,000","$69,000,000",2,4,"Made Acquisitions, Was Acquired",Private,,,,
Vuclip,https://www.crunchbase.com/organization/vuclip,"Advertising, Content and Publishing, Media and Entertainment, Mobile, Sales and Marketing, Video","Milpitas, California, United States",Vuclip is a video-on-demand service for emerging markets.,"2,425",2008,Active,,For Profit,,,,,,,4,51-100,6,M&A,"Aug 13, 2017","$110,000,000",Venture - Series Unknown,"$110,000,000",Venture - Series Unknown,"$158,100,000","$158,100,000",3,6,"Made Acquisitions, Was Acquired",Private,,,,
Good Technology,https://www.crunchbase.com/organization/good-technology,"Data and Analytics, Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Sunnyvale, California, United States",Good Technology is a pioneer and world leader in secure mobility solutions for businesses.,"2,489",1996,Active,,For Profit,,,1,1,,1,6,501-1000,14,M&A,"Sep 30, 2014","$80,000,000",Debt Financing,"$66,000,000",Series C,"$476,374,999","$556,374,999",7,17,"Made Acquisitions, Was Acquired",Private,,,,
CRISPR Therapeutics,https://www.crunchbase.com/organization/crispr-therapeutics,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States",CRISPR Therapeutics is focused on the development of transformative medicines using its proprietary CRISPR/Cas9 gene-editing platform. ,"2,761",2013,Active,,For Profit,,,,,,,7,1-10,3,IPO,"Jun 24, 2016","$38,000,000",Series B,"$38,000,000",Series B,"$127,000,000","$127,000,000",5,12,,Public,"Oct 19, 2016",,"$590,409,510","$56,000,000"
Opower,https://www.crunchbase.com/organization/opower,"Energy, Government and Military, Information Technology, Software, Sustainability","Arlington, Virginia, United States",Opower is a SaaS-based customer engagement and energy efficiency company providing the tools consumers need to make better energy decisions.,"3,215",2007,Active,,For Profit,,,,,,,2,501-1000,5,M&A,"Apr 3, 2014",,Venture - Series Unknown,,Venture - Series Unknown,"$68,350,000","$68,350,000",5,9,Was Acquired,Public,"Apr 4, 2014",,"$901,736,941","$115,900,000"
Synlogic,https://www.crunchbase.com/organization/synlogic,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States",Synlogic is a biotechnology company,"3,581",2014,Active,,For Profit,,,,,,,4,11-50,4,M&A,"May 16, 2017","$42,000,000",Series C,"$42,000,000",Series C,"$116,400,000","$116,400,000",3,13,Was Acquired,Private,,,,
Loopt,https://www.crunchbase.com/organization/loopt,"Apps, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Software","Mountain View, California, United States",Loopt is a mobile application and website that connects people to their community.,"3,662",2005,Active,,,,,,,,,3,11-50,5,M&A,"May 3, 2010","$15,000,000",Series C,"$15,000,000",Series C,"$39,105,997","$39,105,997",2,3,"Made Acquisitions, Was Acquired",Private,,,,
Gaikai,https://www.crunchbase.com/organization/gaikai,"Gaming, Internet Services, Software","Aliso Viejo, California, United States",Gaikai is a video game streaming platform that utilizes cloud-based gaming technology to enable users to play games instantly.,"3,758","Nov 1, 2008",Active,,,,,,,,,3,101-250,3,M&A,"Jul 20, 2011","$30,000,000",Series C,"$30,000,000",Series C,"$45,039,999","$45,039,999",2,8,Was Acquired,Private,,,,
Quidsi,https://www.crunchbase.com/organization/quidsi,"Commerce and Shopping, Consumer Goods, Health Care","Jersey City, New Jersey, United States","Quidsi is an e-commerce platform selling baby-care, household, and beauty products.","3,783",2005,Active,,,,,,,,,2,251-500,6,M&A,"Apr 20, 2010","$20,000,000",Debt Financing,"$30,000,000",Series E,"$58,500,000","$78,500,000",,8,Was Acquired,Private,,,,
Amicus Therapeutics,https://www.crunchbase.com/organization/amicus-therapeutics,"Biotechnology, Health Care, Science and Engineering","Cranbury, New Jersey, United States",Amicus Therapeutics is a biopharmaceutical company developing therapies for the treatment of rare and orphan diseases.,"4,014",2002,Active,,For Profit,,,,,,,,51-100,7,IPO,"Dec 31, 2013","$10,000,000",Post-IPO Debt,"$15,000,000",Post-IPO Equity,"$152,866,943","$162,866,943",3,13,Made Acquisitions,Public,"May 31, 2007",,"$330,000,000","$315,000,000"
Pocket,https://www.crunchbase.com/organization/pocket,"Internet Services, Software","San Francisco, California, United States",Pocket is an application that allows users to save and retrieve documents and videos from websites.,"4,064","Aug 6, 2007",Active,,For Profit,,,,,,,1,11-50,3,M&A,"Feb 27, 2015","$7,000,000",Series B,"$7,000,000",Series B,"$14,500,000","$14,500,000",3,12,Was Acquired,Private,,,,
Turi,https://www.crunchbase.com/organization/graphlab,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Seattle, Washington, United States",Turi is a machine learning platform that creates big data analytics products for its users.,"4,118","May 1, 2013",Active,,For Profit,,,,,,,5,11-50,2,M&A,"Jan 8, 2015","$18,500,000",Series B,"$18,500,000",Series B,"$25,250,000","$25,250,000",2,4,Was Acquired,Private,,,,
"Niara, Inc.",https://www.crunchbase.com/organization/niara-inc,"Artificial Intelligence, Data and Analytics, Government and Military, Privacy and Security, Software","Sunnyvale, California, United States","Attack Detection & Incident Response. Niara is a venture funded security analytics firm backed by NEA, Index Ventures, and Venrock.","4,122","Oct 15, 2013",Active,,For Profit,,,,,,,2,51-100,2,M&A,"Apr 9, 2015","$20,000,000",Series B,"$20,000,000",Series B,"$29,400,000","$29,400,000",3,3,"Made Acquisitions, Was Acquired",Private,,,,
Swiftype,https://www.crunchbase.com/organization/swiftype,"Commerce and Shopping, Internet Services, Sales and Marketing, Software","San Francisco, California, United States","Swiftype, a Y Combinator-backed startup, builds fast & customizable search software for thousands of enterprises, websites and applications.","4,156","Jan 1, 2012",Active,,For Profit,,,,,,,2,11-50,4,M&A,"Mar 5, 2015","$13,000,000",Series B,"$13,000,000",Series B,"$22,200,000","$22,200,000",1,17,Was Acquired,Private,,,,
Clovis Oncology,https://www.crunchbase.com/organization/clovis-oncology,"Biotechnology, Health Care, Science and Engineering","Boulder, Colorado, United States","Clovis Oncology is a biopharmaceutical company focused on acquiring, developing and commercializing anti-cancer agents.","4,239",2009,Active,,,,,1,1,1,1,2,501-1000,3,IPO,"Nov 27, 2013","$191,962,756",Post-IPO Equity,"$191,962,756",Post-IPO Equity,"$336,962,756","$356,962,756",,7,Made Acquisitions,Public,"Nov 16, 2011",,,"$275,000,000"
Appian,https://www.crunchbase.com/organization/appian,"Internet Services, Mobile, Software","Reston, Virginia, United States",Appian provides a leading low-code software development platform that enables organizations to rapidly develop powerful applications.,"4,462","Aug 17, 1999",Active,,For Profit,,,,,,,4,501-1000,2,IPO,"Mar 3, 2014","$37,499,994",Venture - Series Unknown,"$37,499,994",Venture - Series Unknown,"$47,499,994","$47,499,994",1,2,,Public,"May 25, 2017",,"$880,305,000","$75,000,000"
Playdom,https://www.crunchbase.com/organization/playdom,"Apps, Gaming, Software","Palo Alto, California, United States",Playdom is an online social network of game developers.,"4,543","Feb 1, 2008",Active,,,,,1,1,1,,3,501-1000,2,M&A,"Jun 21, 2010","$33,000,000",Series A,"$33,000,000",Series A,"$76,000,000","$76,000,000",1,8,"Made Acquisitions, Was Acquired",Private,,,,
FabFitFun,https://www.crunchbase.com/organization/fabfitfun,"Commerce and Shopping, Health Care, Media and Entertainment","Los Angeles, California, United States",FabFitFun inspires happiness through discovery. ,"4,717",2010,Active,,For Profit,,,,,,,3,51-100,1,M&A,"Oct 13, 2015","$3,500,000",Series A,"$3,500,000",Series A,"$3,500,000","$3,500,000",1,14,Was Acquired,Private,,,,
"Boku, Inc.",https://www.crunchbase.com/organization/boku,"Commerce and Shopping, Financial Services, Mobile, Payments, Software","San Francisco, California, United States",Boku is a global mobile payments network providing mobile-enhanced payments in e-commerce and at physical point-of-sale.,"4,795",2008,Active,,For Profit,,,,,,,3,51-100,6,IPO,"Sep 1, 2016","$13,750,000",Venture - Series Unknown,"$13,750,000",Venture - Series Unknown,"$86,750,000","$86,750,000",2,17,Made Acquisitions,Public,"Nov 20, 2017",,"£125,900,000","£45,000,000"
Pulse,https://www.crunchbase.com/organization/pulse,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Platforms, Software","San Francisco, California, United States",Pulse is a news reading app that provides users with news from multiple RSS feeds on a single interface.,"5,049","May 1, 2010",Active,,,,,,,,,2,,2,M&A,"Jun 16, 2011","$9,000,000",Series A,"$9,000,000",Series A,"$9,800,000","$9,800,000",3,8,Was Acquired,Private,,,,
Box,https://www.crunchbase.com/organization/box,"Hardware, Internet Services, Software","Redwood City, California, United States","Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.","5,117",2005,Active,,For Profit,,,1,1,,,4,1001-5000,11,IPO,"Jul 1, 2014","$150,000,000",Series G,"$150,000,000",Series G,"$558,950,000","$558,950,000",5,24,Made Acquisitions,Public,"Jan 23, 2015",,"$1,670,000,000","$175,000,000"
Nevro,https://www.crunchbase.com/organization/nevro,"Biotechnology, Health Care, Science and Engineering","Menlo Park, California, United States",Nevro provides pain relief solutions for patients suffering from low back pain and other types of chronic pain.,"5,118",2006,Active,,For Profit,,,,,,,1,51-100,6,IPO,"Jun 15, 2016","$172,500,000",Post-IPO Debt,"$48,000,000",Series C,"$133,250,000","$355,750,000",5,12,,Public,"Oct 6, 2014",,"$423,776,358","$144,900,000"
Firebase,https://www.crunchbase.com/organization/firebase,"Apps, Hardware, Internet Services, Mobile, Software","San Francisco, California, United States","Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.","5,252","Sep 1, 2011",Active,,For Profit,,,,,,,2,101-250,3,M&A,"Jun 20, 2013","$5,600,000",Series A,"$5,600,000",Series A,"$7,000,000","$7,000,000",2,10,Was Acquired,Private,,,,
payleven,https://www.crunchbase.com/organization/payleven,"Financial Services, Mobile, Payments, Software","Berlin, Berlin, Germany",payleven enables small and medium sized businesses to accept card payments via smartphone or tablet,"5,285","Mar 19, 2012",Active,,For Profit,,,,,,,3,101-250,5,M&A,"Feb 11, 2016","$10,000,000",Series D,"$10,000,000",Series D,"$53,678,076","$53,678,076",1,7,Was Acquired,Private,,,,
Fusion-io,https://www.crunchbase.com/organization/fusion-io,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Salt Lake City, Utah, United States","Fusion-io offers a platform that accelerates databases, virtualization, cloud computing, big data and applications that drive the economy.","5,452",2006,Active,,,,,,,,,2,,3,M&A,"Apr 21, 2010","$45,000,000",Series C,"$45,000,000",Series C,"$111,500,000","$111,500,000",3,11,"Made Acquisitions, Was Acquired",Public,"Jun 9, 2011",,"$1,478,372,596","$233,700,000"
Xoom Corporation,https://www.crunchbase.com/organization/xoom,"Commerce and Shopping, Financial Services, Payments","San Francisco, California, United States",Xoom Corporation is a digital money transfer company that allows users to securely transfer money online.,"5,592","Mar 1, 2001",Active,,,,,1,1,1,1,1,101-250,7,M&A,"Nov 22, 2011","$25,000,000",Series F,"$25,000,000",Series F,"$104,349,000","$104,349,000",2,12,"Made Acquisitions, Was Acquired",Public,"Feb 15, 2013",,"$509,422,656","$101,200,000"
Ardelyx,https://www.crunchbase.com/organization/ardelyx,"Biotechnology, Health Care, Science and Engineering","Fremont, California, United States",Ardelyx develops novel oral therapeutics to treat mineral metabolism and metabolic disorders.,"5,659",2007,Active,,For Profit,,,,,,,1,101-250,5,IPO,"Jul 18, 2016","$110,000,000",Post-IPO Equity,"$110,000,000",Post-IPO Equity,"$243,861,627","$248,875,321",2,15,,Public,"Jun 20, 2014",,"$238,000,000","$60,000,000"
Mirna Therapeutics,https://www.crunchbase.com/organization/mirna-therapeutics,"Biotechnology, Health Care, Science and Engineering","Austin, Texas, United States",Mirna Therapeutics researches on and develops miRNA-directed human oncology therapies.,"5,879",2007,Active,,,,,,,,,1,1-10,6,IPO,"Oct 5, 2015","$16,800,000",Post-IPO Equity,"$16,800,000",Post-IPO Equity,"$94,600,000","$109,897,000",2,12,Made Acquisitions,Public,"Sep 30, 2015",,,"$44,000,000"
Neotract,https://www.crunchbase.com/organization/neotract,"Biotechnology, Health Care, Science and Engineering","Mountain View, California, United States",NeoTract develops surgical devices for urological and gynecological disorders.,"5,897",2004,Active,,For Profit,,,,,,,3,51-100,6,M&A,"Jan 1, 2017","$12,816,967",Venture - Series Unknown,"$12,816,967",Venture - Series Unknown,"$175,781,811","$175,781,811",,5,Was Acquired,Private,,,,
Fieldglass,https://www.crunchbase.com/organization/fieldglass,"Internet Services, Software","Chicago, Illinois, United States","Fieldglass provides SaaS-based solutions that help firms procure and manage contingent workers, services, independent contractors and more.","5,941","Nov 12, 1999",Active,,,,,,,,,1,10001+,4,M&A,"Sep 22, 2016","$11,129,988",Venture - Series Unknown,"$11,129,988",Venture - Series Unknown,"$196,417,489","$196,417,489",3,8,Was Acquired,Private,,,,
Pentaho,https://www.crunchbase.com/organization/pentaho,"Data and Analytics, Design, Information Technology, Software","Orlando, Florida, United States",Pentaho is a big data integration and analytics platform,"5,963","Oct 8, 2004",Active,,For Profit,,,,,,,4,251-500,5,M&A,"Oct 30, 2012","$23,000,000",Series C,"$23,000,000",Series C,"$71,995,394","$71,995,394",2,4,"Made Acquisitions, Was Acquired",Private,,,,
SocialRadar,https://www.crunchbase.com/organization/socialradar,"Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Platforms, Software","Washington, District of Columbia, United States",SocialRadar develops social and location-based space applications for users to connect and interact with others around them.,"6,048","May 2, 2013",Active,,,,,,,,,1,11-50,1,M&A,"Jun 19, 2013","$12,750,000",Series A,"$12,750,000",Series A,"$12,750,000","$12,750,000",2,12,"Made Acquisitions, Was Acquired",Private,,,,
Tableau,https://www.crunchbase.com/organization/tableau,"Data and Analytics, Design, Information Technology, Media and Entertainment, Software","Seattle, Washington, United States",Tableau helps global organizations unleash the power of their most valuable assets: their data and their people.,"6,172",2003,Active,,For Profit,,,,,,,3,1001-5000,3,IPO,"Oct 22, 2010",,Venture - Series Unknown,,Venture - Series Unknown,"$15,000,000","$15,000,000",2,2,Made Acquisitions,Public,"May 16, 2013",,"$3,000,000,000","$25,400,000"
Ravel Law,https://www.crunchbase.com/organization/ravel-law,"Data and Analytics, Internet Services, Professional Services","San Francisco, California, United States","Ravel is a platform for legal search, analytics and visualization.","6,191","May 15, 2012",Active,,,,,,,,,2,11-50,3,M&A,"Sep 15, 2016","$6,000,000",Series A,"$6,000,000",Series A,"$15,200,000","$15,200,000",2,5,Was Acquired,Private,,,,
Financial Software Systems,https://www.crunchbase.com/organization/financial-software-systems,"Financial Services, Information Technology, Payments","Chennai, Tamil Nadu, India",Financial Software and Systems (FSS) is a leading global payment systems company offering business value in the areas of electronic payment.,"6,430",Feb 1991,Active,,For Profit,,,,,,,1,1001-5000,4,M&A,"Oct 14, 2014","$57,000,000",Series D,"$57,000,000",Series D,"$99,500,000","$99,500,000",2,4,Was Acquired,Private,,,,
Springpath,https://www.crunchbase.com/organization/springpath-inc,"Hardware, Information Technology, Software","Sunnyvale, California, United States",Springpath is hyperconvergence software that turns standard servers of choice into a single pool of compute and storage resources.,"6,452","May 3, 2012",Active,,For Profit,,,,,,,2,51-100,1,M&A,"Feb 18, 2015","$34,000,000",Venture - Series Unknown,"$34,000,000",Venture - Series Unknown,"$34,000,000","$34,000,000",1,4,Was Acquired,Private,,,,
Cleversafe,https://www.crunchbase.com/organization/cleversafe,"Hardware, Software","Chicago, Illinois, United States",Cleversafe offers dispersed data storage technologies.,"6,482",2004,Active,,For Profit,,,,,,,1,51-100,6,M&A,"Aug 20, 2013","$55,000,000",Series D,"$55,000,000",Series D,"$106,210,283","$106,210,283",2,9,Was Acquired,Private,,,,
Silk,https://www.crunchbase.com/organization/silk,"Data and Analytics, Design, Information Technology, Internet Services, Sales and Marketing, Software","Amsterdam, Noord-Holland, The Netherlands",Silk is a cloud-based application that enables users to visualize their data online by the way of interactive web pages.,"6,526",2010,Active,,For Profit,,,,,,,2,11-50,3,M&A,"Oct 7, 2013","$1,600,000",Seed,"$1,600,000",Seed,"$3,655,900","$3,655,900",1,9,Was Acquired,Private,,,,
Aquantia,https://www.crunchbase.com/organization/aquantia,"Consumer Electronics, Hardware, Mobile, Science and Engineering","Milpitas, California, United States",Aquantia is a semiconductor company developing Ethernet connectivity solutions for cloud computing and next generation enterprise networks.,"6,684",2004,Active,,For Profit,,,,,,,1,101-250,8,IPO,"Apr 10, 2015","$37,000,000",Series H,"$37,000,000",Series H,"$185,624,633","$185,624,633",2,13,,Public,"Nov 4, 2017",,"$290,000,000","$61,400,000"
Placemeter,https://www.crunchbase.com/organization/placemeter,"Data and Analytics, Financial Services, Government and Military, Information Technology, Internet Services, Mobile","New City, New York, United States",Placemeter is an urban intelligence platform. We quantify modern cities worldwide. The answers you need are all around you.,"6,825","Mar 1, 2012",Active,,For Profit,,,,,,,2,11-50,5,M&A,"Jun 30, 2016","$1,600,000",Venture - Series Unknown,"$1,600,000",Venture - Series Unknown,"$9,443,000","$9,443,000",1,10,Was Acquired,Private,,,,
Nightstar Therapeutics,https://www.crunchbase.com/organization/nightstarx,"Biotechnology, Health Care, Science and Engineering","London, England, United Kingdom","Nightstar is biopharmaceutical company, focused on developing gene therapies for retinal dystrophies.","7,160",2013,Active,,For Profit,,,,,,,1,11-50,5,IPO,"Sep 28, 2017","$75,000,000",Post-IPO Equity,"$75,000,000",Post-IPO Equity,"$174,592,828","$174,592,828",3,4,,Public,"Sep 27, 2017",,"$393,000,000","$75,000,000"
Dermira,https://www.crunchbase.com/organization/dermira,"Biotechnology, Health Care, Science and Engineering","Menlo Park, California, United States",Dermira is a development-stage biotech company focused on developing and commercializing innovative new therapies in dermatology.,"7,315",2010,Active,,For Profit,,,,,,,4,11-50,4,IPO,"Sep 12, 2016","$1,500,000",Post-IPO Equity,"$1,500,000",Post-IPO Equity,"$129,500,000","$129,500,000",1,9,,Public,"Oct 3, 2014",,,"$125,000,000"
LearnUp,https://www.crunchbase.com/organization/learnup,,"San Francisco, California, United States",LearnUp empowers job seekers to achieve their career goals.,"7,358",2011,Active,,For Profit,,,,,,,2,11-50,3,M&A,"Sep 23, 2016","$7,500,001",Series B,"$7,500,001",Series B,"$17,400,001","$17,400,001",2,9,Was Acquired,Private,,,,
